anchor_id,anchor_name,source,anchor_type,lng,lat,merge_rule,confidence,review_status,scale_km,ctrip_lodging_count,amap_dining_count,amap_transport_count,amap_public_count,amap_shopping_count,amap_medical_count,amap_lodging_count_optional,xhs_mentions,xhs_heat_proxy,xhs_negative_rate,traffic_pain_rate,queue_pain_rate,cold_pain_rate,price_pain_rate,dp_review_count,dp_price_pressure,dp_queue_pressure,dp_service_pressure
A001,中央大街,XHS,POI,126.618916,45.774014,manual_whitelist,A,reviewed,1,476,621,408,68,582,248,606,501,501,0.02091633466135458,0.00099601593625498,0.0049800796812749,0.010956175298804782,0.00099601593625498,2094,0.42935560859188543,0.4026252983293556,0.00023866348448687351
A002,圣索菲亚教堂,XHS,POI,126.626028,45.76984,manual_whitelist,A,reviewed,1,438,394,362,55,396,214,430,321,321,0.023291925465838508,0.007763975155279503,0.013975155279503106,0.007763975155279503,0.007763975155279503,0,0.0,0.0,0.0
A003,冰雪大世界,XHS,POI,126.567694,45.778569,manual_whitelist,A,reviewed,1,1,22,45,41,15,3,5,288,288,0.015570934256055362,0.0017301038062283738,0.0017301038062283738,0.012110726643598616,0.005190311418685121,347,0.6652298850574713,0.38362068965517243,0.0014367816091954023
A004,松花江,XHS,POI,126.56,45.78,manual_whitelist,A,reviewed,1,0,23,33,40,15,2,0,245,245,0.018292682926829267,0.006097560975609756,0.01016260162601626,0.01016260162601626,0.006097560975609756,0,0.0,0.0,0.0
A005,太阳岛,XHS,POI,126.53505,45.802981,manual_whitelist,A,reviewed,1,33,203,138,13,149,64,82,243,243,0.02663934426229508,0.0020491803278688526,0.010245901639344262,0.0020491803278688526,0.0020491803278688526,363,0.6524725274725275,0.364010989010989,0.0013736263736263737
A006,中华巴洛克风情街,XHS,POI,126.638089,45.780731,manual_whitelist,A,reviewed,1,138,320,227,20,382,233,328,188,188,0.018518518518518517,0.007936507936507936,0.013227513227513227,0.007936507936507936,0.007936507936507936,1058,0.1619452313503305,0.3810198300283286,0.00047214353163361664
A007,红专街早市,XHS,POI,126.614854,45.772316,manual_whitelist,A,reviewed,1,416,522,398,63,505,234,515,160,160,0.021739130434782608,0.003105590062111801,0.003105590062111801,0.021739130434782608,0.003105590062111801,344,0.0014492753623188406,0.43043478260869567,0.0014492753623188406
A008,哈药六厂,XHS,POI,126.685324,45.771216,manual_whitelist,A,reviewed,1,37,207,151,12,210,141,54,99,99,0.045,0.015,0.015,0.025,0.025,0,0.0,0.0,0.0
A009,防洪纪念塔,XHS,POI,126.615903,45.777956,manual_whitelist,A,reviewed,1,296,475,291,51,458,140,507,99,99,0.005,0.005,0.005,0.005,0.005,362,0.7176308539944903,0.35399449035812675,0.0013774104683195593
A010,极地公园,XHS,POI,126.586479,45.785251,manual_whitelist,A,reviewed,1,2,6,24,12,1,2,5,94,94,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0,0.0,0.0,0.0
