anchor_name,scale_km,ctrip_lodging_count,amap_dining_count,amap_transport_count,amap_public_count,amap_shopping_count,amap_medical_count,amap_lodging_count_optional
中央大街,1,476,621,408,68,582,248,606
中央大街,3,1253,2232,1979,252,2198,1563,1915
中央大街,5,1863,4794,4074,521,5068,3462,2846
圣索菲亚教堂,1,438,394,362,55,396,214,430
圣索菲亚教堂,3,1406,2594,2298,285,2582,1857,2092
圣索菲亚教堂,5,1966,5290,4554,541,5688,3842,3012
冰雪大世界,1,1,22,45,41,15,3,5
冰雪大世界,3,33,150,256,82,134,47,96
冰雪大世界,5,1075,2856,2352,300,2632,1605,1871
松花江,1,0,23,33,40,15,2,0
松花江,3,6,61,103,59,42,11,93
松花江,5,812,2503,2152,258,2329,1234,1586
太阳岛,1,33,203,138,13,149,64,82
太阳岛,3,198,1048,734,56,980,385,511
太阳岛,5,263,1285,960,133,1306,451,636
中华巴洛克风情街,1,138,320,227,20,382,233,328
中华巴洛克风情街,3,1185,2387,1989,233,2552,1664,1807
中华巴洛克风情街,5,1869,5161,4127,475,5343,3413,2886
红专街早市,1,416,522,398,63,505,234,515
红专街早市,3,1222,2081,1904,250,2078,1413,1858
红专街早市,5,1851,4710,4061,519,5024,3493,2836
哈药六厂,1,37,207,151,12,210,141,54
哈药六厂,3,628,2654,2018,201,2990,1883,1048
哈药六厂,5,1679,5623,4423,442,6502,3752,2527
防洪纪念塔,1,296,475,291,51,458,140,507
防洪纪念塔,3,1115,1854,1605,222,1911,1251,1710
防洪纪念塔,5,1776,4356,3763,481,4655,3167,2738
极地公园,1,2,6,24,12,1,2,5
极地公园,3,267,587,563,123,552,219,513
极地公园,5,1285,2817,2305,320,2732,1750,2208
东北虎林园,1,5,68,28,6,34,12,38
东北虎林园,3,67,512,217,42,384,116,241
东北虎林园,5,170,1335,781,125,1271,372,730
哈尔滨站,1,335,305,349,48,274,236,389
哈尔滨站,3,1560,3054,2803,319,3070,2236,2309
哈尔滨站,5,2242,6396,5309,619,6724,4419,3352
伏尔加庄园,1,2,6,5,5,5,0,3
伏尔加庄园,3,2,28,8,6,32,3,11
伏尔加庄园,5,2,36,42,10,78,9,12
中东铁路桥,1,58,135,99,9,162,75,207
中东铁路桥,3,803,1577,1282,169,1724,1132,1240
中东铁路桥,5,1677,4296,3395,432,4484,2696,2645
果戈里大街,1,189,521,463,53,405,326,279
果戈里大街,3,1263,2817,2678,307,2876,2065,1654
果戈里大街,5,2470,7521,5999,610,7993,5135,3720
哈西站,1,106,130,211,24,115,21,281
哈西站,3,646,1619,1139,137,1783,609,767
哈西站,5,1198,3913,2718,280,4155,2017,1564
师大夜市,1,65,221,206,21,320,240,109
师大夜市,3,728,2607,1732,220,2678,1689,972
师大夜市,5,2591,6670,5112,613,6753,4197,3238
群力,1,43,390,237,40,312,191,67
群力,3,285,2128,1630,166,2334,1123,787
群力,5,1143,3910,3009,325,4423,2227,1811
龙塔,1,56,253,398,31,225,128,94
龙塔,3,780,3204,2626,223,3206,2132,1141
龙塔,5,1811,6550,4930,507,7166,4344,2588
哈尔滨工业大学,1,158,301,204,38,252,169,183
哈尔滨工业大学,3,1351,2774,2601,294,2860,2303,1773
哈尔滨工业大学,5,2408,7073,5770,631,7211,4804,3536
