anchor_id,anchor_name,source,anchor_type,lng,lat,merge_rule,confidence,review_status
A001,中央大街,XHS,POI,126.618916,45.774014,manual_whitelist,A,reviewed
A002,圣索菲亚教堂,XHS,POI,126.626028,45.76984,manual_whitelist,A,reviewed
A003,冰雪大世界,XHS,POI,126.567694,45.778569,manual_whitelist,A,reviewed
A004,松花江,XHS,POI,126.56,45.78,manual_whitelist,A,reviewed
A005,太阳岛,XHS,POI,126.53505,45.802981,manual_whitelist,A,reviewed
A006,中华巴洛克风情街,XHS,POI,126.638089,45.780731,manual_whitelist,A,reviewed
A007,红专街早市,XHS,POI,126.614854,45.772316,manual_whitelist,A,reviewed
A008,哈药六厂,XHS,POI,126.685324,45.771216,manual_whitelist,A,reviewed
A009,防洪纪念塔,XHS,POI,126.615903,45.777956,manual_whitelist,A,reviewed
A010,极地公园,XHS,POI,126.586479,45.785251,manual_whitelist,A,reviewed
A011,东北虎林园,XHS,POI,126.589457,45.819457,manual_whitelist,A,reviewed
A012,哈尔滨站,XHS,POI,126.63269,45.761621,manual_whitelist,A,reviewed
A013,伏尔加庄园,XHS,POI,126.896381,45.670668,manual_whitelist,A,reviewed
A014,中东铁路桥,XHS,POI,126.626354,45.787358,manual_whitelist,A,reviewed
A015,果戈里大街,XHS,POI,126.650326,45.757621,manual_whitelist,A,reviewed
A016,哈西站,XHS,POI,126.577304,45.707228,manual_whitelist,A,reviewed
A017,师大夜市,XHS,POI,126.625032,45.729273,manual_whitelist,A,reviewed
A018,群力,XHS,POI,126.560039,45.727206,manual_whitelist,A,reviewed
A019,龙塔,XHS,POI,126.680189,45.748517,manual_whitelist,A,reviewed
A020,哈尔滨工业大学,XHS,POI,126.633441,45.749367,manual_whitelist,A,reviewed
